staff_name,distance_patient_clinic,distance_staff_patient,time_margin,workload,language,fitness_score,predicted_label,accept_proba
1,10.65108401,7.706784337,-11.44874744,1,1,2.738258825,1,0.925925926
3,8.509437777,4.150299998,-50.16702256,4,2,2.546179214,1,0.666666667
3,11.93591937,6.345471124,-107.8246026,1,1,2.417770753,1,0.666666667
2,9.800809005,11.30019346,-131.1960699,2,0,2.271669742,1,0.666666667
3,4.663843855,3.50661548,-50.26186678,1,1,2.710755851,1,0.925925926
1,6.911399843,5.347610266,-50.39948688,2,2,2.629411609,1,0.925925926
0,7.405348655,11.69125922,-110.5234084,4,0,2.28062256,1,0.666666667
1,14.06491464,1.891441711,-107.3746002,4,0,2.322521103,1,0.666666667
0,2.42559857,8.048646523,-78.38102988,1,1,2.593987449,1,0.666666667
1,11.35646128,1.627826273,-107.2116889,2,0,2.432784828,1,0.666666667
0,1.581519987,1.716305322,-21.17553283,4,2,2.736436637,1,0.925925926
0,8.609907825,8.871194435,-28.3004888,4,1,2.570854015,1,0.666666667
1,11.10813731,9.160382409,-1.903537075,3,0,2.670969679,1,0.925925926
0,9.899469812,7.818946158,-127.7778845,3,0,2.276889559,1,0.666666667
0,11.86254722,10.02244877,-93.38846609,4,0,2.309855153,1,0.666666667
3,13.4829939,4.092176741,-42.89373939,1,0,2.641269162,1,0.925925926
1,1.680005078,3.406157002,-18.67806556,1,0,2.846878161,1,0.925925926
3,13.85271901,8.165428751,-143.3909254,2,0,2.221848771,1,0.666666667
1,6.082703185,8.805388186,-101.0459967,4,2,2.354299097,1,0.666666667
3,3.387331066,12.53478504,-79.58151496,3,2,2.455507122,1,0.666666667
3,14.53285661,7.820696238,-49.37632557,3,0,2.49187672,1,0.666666667
1,9.088161497,12.46645931,-49.99514518,2,1,2.537803308,1,0.666666667
2,2.726329121,11.13098666,-21.68326365,4,1,2.629149297,1,0.925925926
3,14.91168969,12.25392203,-2.868330708,2,2,2.638782781,1,0.925925926
3,9.082908779,3.621015064,-37.20652821,4,1,2.588939001,1,0.666666667
3,3.746432306,6.670494538,-2.605102144,4,1,2.727147058,1,0.925925926
1,13.01649283,4.514251267,-64.66053852,4,1,2.449157431,1,0.666666667
0,1.515011486,14.63821942,-111.9844005,1,0,2.425186356,1,0.666666667
1,13.07582133,12.18679556,-7.352320211,2,0,2.642866097,1,0.925925926
3,14.63522935,6.038566935,-50.06020083,3,1,2.506394701,1,0.666666667
1,5.704441233,4.252568945,-25.84778343,4,0,2.65427062,1,0.925925926
1,1.437204132,2.700396623,-51.17267976,1,1,2.748048393,1,0.925925926
0,4.079906103,4.218200507,-51.84985933,2,1,2.664186069,1,0.925925926
3,1.029806534,14.33511729,-125.3670734,4,0,2.268460517,1,0.666666667
1,14.80433767,1.606680713,-124.0670393,2,1,2.342333019,1,0.666666667
2,4.719425714,8.886216741,-51.49875524,4,0,2.532281058,1,0.666666667
1,8.834584107,4.056000929,-122.5247387,3,2,2.342678354,1,0.666666667
1,6.205409478,7.80047396,-30.76121853,1,1,2.717403771,1,0.925925926
2,8.075217888,12.99496854,-145.3580876,1,2,2.264771177,1,0.666666667
2,10.78926461,8.97260264,-79.54019602,1,1,2.497247341,1,0.666666667
2,1.046074539,9.253508394,-7.411325478,4,2,2.712299752,1,0.925925926
0,13.74334685,3.343838628,-138.9822651,1,2,2.325853928,1,0.666666667
0,14.95960813,14.72518396,-86.07897874,3,1,2.29622215,1,0.666666667
1,3.758254985,2.34259888,-40.58090378,4,1,2.643721782,1,0.925925926
1,6.171206538,5.240640792,-89.52573081,1,1,2.547462424,1,0.666666667
1,1.34336178,7.892973394,-96.23327637,1,1,2.54685906,1,0.666666667
1,4.619467135,8.955037934,-11.659641,2,2,2.745389479,1,0.925925926
1,8.597420129,5.063429245,-93.09956666,1,2,2.513059617,1,0.666666667
3,13.8451048,1.220767653,-18.11348873,3,1,2.66896298,1,0.925925926
2,13.31637748,6.558237106,-71.08037024,4,0,2.404319287,1,0.666666667
2,7.661416777,1.831471349,-123.8920689,2,0,2.412097556,1,0.666666667
3,10.39490224,7.356341814,-69.12180486,1,1,2.552081543,1,0.666666667
1,1.636200876,13.24398679,-16.63852598,1,2,2.75573637,1,0.925925926
1,1.276987927,12.80576219,-106.6509112,1,0,2.463669462,1,0.666666667
1,1.159691344,6.764669653,-105.865138,3,0,2.447872597,1,0.666666667
2,2.243690637,13.43468125,-121.9653197,1,0,2.396665215,1,0.666666667
2,5.865604378,14.68963168,-94.22140691,4,2,2.320376283,1,0.666666667
2,14.89509549,7.558626262,-39.96033015,4,2,2.482261682,1,0.666666667
1,10.31872711,4.152366064,-89.49448671,2,2,2.476974113,1,0.666666667
1,10.09282385,10.70092799,-131.7125406,3,0,2.23302068,1,0.666666667
0,10.67178573,9.198029266,-104.8516153,2,2,2.371796466,1,0.666666667
1,13.38156261,13.32704597,-60.98735318,2,0,2.449622737,1,0.666666667
0,13.89795225,7.071387161,-57.39292564,1,0,2.558996854,1,0.666666667
3,1.692352515,12.65963738,-59.37423049,1,1,2.618565999,1,0.925925926
2,13.44949958,2.980112122,-77.3090778,4,0,2.418006957,1,0.666666667
1,7.486933776,12.03548618,-133.0773081,1,1,2.321184773,1,0.666666667
0,7.334655193,6.436542224,-62.80969736,3,2,2.532922368,1,0.666666667
1,5.559553871,8.012521819,-94.64753746,2,1,2.468787452,1,0.666666667
3,7.130857609,2.788213682,-97.53066594,3,0,2.455707067,1,0.666666667
1,9.664869572,1.317025923,-60.7849688,4,2,2.527564482,1,0.666666667
1,11.53438545,2.21090489,-83.94769807,2,1,2.502721436,1,0.666666667
1,1.193378097,13.14438809,-111.6171215,1,0,2.444565267,1,0.666666667
2,7.619975581,14.6763065,-140.9070351,1,1,2.267347062,1,0.666666667
2,6.684487414,10.91719166,-1.515103043,4,2,2.658932866,1,0.925925926
2,2.804343297,1.785317179,-82.21214317,1,1,2.640062918,1,0.925925926
2,3.796806982,13.48599246,-79.08230574,4,2,2.40356432,1,0.666666667
2,5.606268589,2.614235344,-66.40220983,3,2,2.576454261,1,0.666666667
1,1.966161725,6.472652064,-146.3160103,1,0,2.387891828,1,0.666666667
1,2.628383466,14.43955997,-146.8264362,2,2,2.259899112,1,0.666666667
3,7.247053423,4.08934092,-124.2925203,1,0,2.432327656,1,0.666666667
0,10.32937678,14.50105259,-73.36503985,3,0,2.387145573,1,0.666666667
0,9.464997948,1.957793857,-100.7397491,1,2,2.509972918,1,0.666666667
1,12.25583731,6.861751564,-11.19475669,2,2,2.691508256,1,0.925925926
2,3.217982662,13.7580634,-94.22159471,4,1,2.356167557,1,0.666666667
0,10.35453261,7.072402045,-102.1751395,4,1,2.325146855,1,0.666666667
3,1.752308915,9.090816954,-137.9826044,1,0,2.391626727,1,0.666666667
0,2.855662879,6.80628914,-143.9295647,4,0,2.263615264,1,0.666666667
0,4.7170467,9.980945208,-30.43581187,1,0,2.711567375,1,0.925925926
2,11.07916311,10.95330147,-136.0490158,2,0,2.246178635,1,0.666666667
1,5.828780591,2.275881355,-59.83192105,2,1,2.639513644,1,0.925925926
3,13.86099968,10.26793921,-70.96875356,1,2,2.482148099,1,0.666666667
2,14.35138836,11.02012346,-112.400063,3,0,2.251618005,1,0.666666667
3,4.157511176,6.0771214,-69.34381213,1,2,2.626507634,1,0.925925926
1,1.429299392,14.00545979,-1.164375093,4,0,2.681771158,1,0.925925926
0,11.85008857,8.925168394,-33.77903435,3,0,2.559650649,1,0.666666667
2,13.91415415,2.663414526,-53.94063755,1,2,2.614422188,1,0.925925926
1,2.221920006,10.35259376,-149.3387152,3,2,2.256459145,1,0.666666667
3,11.90259995,5.688232811,-7.770656632,2,2,2.718189484,1,0.925925926
1,14.1836883,1.093841917,-96.88881745,2,2,2.444261973,1,0.666666667
2,5.96012068,5.248830881,-1.770250089,2,1,2.802009651,1,0.925925926
0,7.154418634,13.72322542,-23.70524694,4,2,2.55220607,1,0.666666667
2,7.595695776,10.06348287,-116.0027531,4,0,2.27673237,1,0.666666667
1,2.957089836,14.93742382,-9.462350863,2,2,2.709513694,1,0.925925926
2,14.27583845,6.521587149,-83.0161194,3,1,2.395305346,1,0.666666667
2,3.397938688,14.61535191,-129.9853298,2,2,2.306582661,1,0.666666667
0,3.260305979,1.37401009,-69.6040072,1,1,2.681643482,1,0.925925926
2,3.247397635,2.781890145,-3.102020478,4,2,2.769367054,1,0.925925926
0,12.66220663,13.02542467,-42.40167769,2,0,2.521784761,1,0.666666667
3,5.771999062,7.337870304,-34.28027597,3,0,2.63463372,1,0.925925926
3,11.43704887,9.627918267,-14.07343589,3,1,2.622438876,1,0.925925926
1,10.9199646,5.966776953,-53.24482308,4,0,2.493649841,1,0.666666667
3,6.490995957,5.49752542,-114.1693106,2,0,2.419550417,1,0.666666667
0,7.513633947,11.2248794,-141.059737,4,0,2.182415743,1,0.666666667
0,3.850115404,7.106965307,-35.81246101,3,2,2.651054323,1,0.925925926
0,2.423828862,7.710368637,-100.6398469,3,1,2.443191869,1,0.666666667
0,5.721814455,8.424054264,-25.7925788,4,1,2.61256605,1,0.925925926
3,14.8123999,5.071420939,-2.122259335,4,0,2.634087594,1,0.925925926
1,11.38180903,5.997913892,-68.84158625,4,2,2.436730817,1,0.666666667
1,10.31216645,1.974769604,-33.75348556,1,2,2.724619021,1,0.925925926
3,11.72744077,4.738275018,-30.5548687,2,2,2.65349328,1,0.925925926
3,2.623948659,1.957684659,-39.67876818,1,2,2.781921106,1,0.925925926
1,9.433657569,3.816536397,-12.66279883,1,0,2.785288731,1,0.925925926
3,7.285807343,13.98110357,-110.1724348,2,1,2.340089441,1,0.666666667
3,7.510901695,11.11291764,-32.28788474,4,0,2.546135524,1,0.666666667
0,13.72441931,11.96259709,-139.7145378,2,1,2.19741471,1,0.666666667
1,13.65543224,4.066089546,-58.76173992,4,1,2.466912316,1,0.666666667
1,5.047013399,5.893174274,-100.1200542,2,2,2.476864609,1,0.666666667
3,4.445118888,13.4825605,-138.004436,2,2,2.28070842,1,0.666666667
3,6.151889999,14.86617514,-42.37114496,4,2,2.488582199,1,0.666666667
1,13.72472215,9.340937095,-98.0954618,3,2,2.322358535,1,0.666666667
2,3.423593378,3.581969685,-63.91914757,4,2,2.556880544,1,0.666666667
1,2.823134694,8.503897025,-55.18235687,4,0,2.542788493,1,0.666666667
3,1.515075658,10.94969067,-11.21722674,1,0,2.797961581,1,0.925925926
0,13.71696886,9.448681594,-37.10757495,1,1,2.604651579,1,0.666666667
2,1.468963256,2.517801779,-62.83606676,2,0,2.670678794,1,0.925925926
3,3.953530969,11.59205577,-124.1587313,1,2,2.390681695,1,0.666666667
2,13.4084602,12.74132612,-71.33181533,1,1,2.460729419,1,0.666666667
2,2.384537265,7.712068424,-81.777228,4,1,2.466443183,1,0.666666667
0,3.76218764,2.106625701,-92.42963806,2,2,2.553213073,1,0.666666667
3,7.596964494,7.196034234,-76.06297763,3,0,2.478526754,1,0.666666667
1,4.880618419,10.79728293,-52.31181766,1,0,2.628848261,1,0.925925926
1,4.030705549,9.368935529,-88.45374846,3,1,2.451157761,1,0.666666667
2,1.840519684,1.184720485,-63.73386767,1,1,2.717301373,1,0.925925926
3,11.15726588,3.281771722,-66.6276405,2,0,2.553517489,1,0.666666667
3,2.673545743,2.686070445,-141.7293769,1,1,2.433972582,1,0.666666667
0,4.662509741,14.45648134,-105.4460575,2,2,2.377323231,1,0.666666667
0,4.43971316,7.474478403,-91.31533583,3,1,2.456473632,1,0.666666667
3,10.00772597,14.58816937,-16.06183045,2,1,2.620501612,1,0.925925926
0,4.377197992,4.069011487,-62.47434495,4,2,2.547290089,1,0.666666667
3,6.161998819,4.629811893,-13.93326275,2,2,2.765637684,1,0.925925926
3,5.047845701,8.730068137,-144.6329048,1,1,2.340111179,1,0.666666667
1,13.36842216,2.228058204,-98.37172827,4,2,2.356129435,1,0.666666667
2,12.22965363,13.05696331,-105.517095,4,2,2.235410181,1,0.666666667
0,3.77830909,5.864272112,-62.46531855,4,1,2.535356459,1,0.666666667
1,6.877917237,14.90693427,-87.62516139,3,1,2.370067614,1,0.666666667
0,6.612353557,4.718072257,-44.08728549,3,2,2.619738124,1,0.925925926
1,13.64150208,9.078460501,-117.612133,2,1,2.300759931,1,0.666666667
2,13.99039816,3.506159876,-123.8433084,4,2,2.252223392,1,0.666666667
3,9.560833264,8.57275799,-89.55100665,3,2,2.400160732,1,0.666666667
2,7.227723892,10.57387216,-85.71257021,4,0,2.376275472,1,0.666666667
1,11.86827028,13.0177886,-46.77500177,1,1,2.555222739,1,0.666666667
1,8.40201406,14.51226364,-85.60531698,3,0,2.365506166,1,0.666666667
2,7.71833345,5.036437693,-84.03485981,1,0,2.552336089,1,0.666666667
3,11.02465505,11.11779264,-105.7498954,3,2,2.306075872,1,0.666666667
2,12.83597315,8.080328937,-26.86920799,2,2,2.621272953,1,0.925925926
2,5.079724379,8.147040832,-57.98360266,3,0,2.554453672,1,0.666666667
1,6.143490737,6.397705282,-26.76977093,1,2,2.74535547,1,0.925925926
2,10.34371644,2.549083922,-47.90839129,2,2,2.631377359,1,0.925925926
1,6.675754104,11.29960143,-135.0577976,1,0,2.330053786,1,0.666666667
1,5.700798389,6.117684582,-11.86212799,4,0,2.682274744,1,0.925925926
1,1.147817301,7.569616701,-50.4835118,1,1,2.704547287,1,0.925925926
2,3.211894481,14.61634054,-63.60951653,2,0,2.529685928,1,0.666666667
3,9.73826283,5.074139787,-149.3307919,2,0,2.274106667,1,0.666666667
3,8.852971537,9.850441513,-64.7296706,4,0,2.437200301,1,0.666666667
3,1.324693915,6.957476785,-72.17508771,1,2,2.636594667,1,0.925925926
1,11.72205391,2.508224834,-89.31061183,4,2,2.399995173,1,0.666666667
3,13.34113842,6.572905246,-92.45239212,3,2,2.372684923,1,0.666666667
3,5.240996725,10.42233002,-121.1204746,4,2,2.279631817,1,0.666666667
2,10.62918356,5.269858398,-100.9016107,3,1,2.384670878,1,0.666666667
2,14.44574034,5.392777209,-59.47202122,2,0,2.523374754,1,0.666666667
2,9.880392329,1.377803466,-41.46504727,4,1,2.589201218,1,0.666666667
2,13.92151049,11.32506529,-20.196773,3,2,2.560211666,1,0.666666667
1,14.69823299,2.569578374,-30.31365397,1,1,2.686276373,1,0.925925926
3,12.85590795,9.470279955,-36.09814647,2,2,2.576410966,1,0.666666667
