language,preferred_language,distance_patient_clinic,distance_staff_patient,time_margin,workload,true_fitness,language_match,predicted_fitness
Mandarin,Mandarin,1.278685554,4.893457214,-8.664197401,1,3.869397914,1,3.827203558
English,English,3.153370965,6.920056687,-5.998121445,2,3.799271985,1,3.806133974
Mandarin,Mandarin,4.98230579,7.579766305,-15.24244276,2,3.743571137,1,3.77356778
Malay,Malay,5.05432343,5.540842155,-17.90223651,2,3.754374222,1,3.77356778
English,English,9.816064083,5.128550446,-1.890590592,2,3.764251886,1,3.770453989
Malay,Malay,9.078526981,6.65200747,-5.521857127,2,3.744288465,1,3.770453989
Malay,Malay,6.984118917,5.044650206,-0.432798849,3,3.758269646,1,3.764642333
English,English,13.22598669,3.926314211,-0.66289928,2,3.746267327,1,3.747430596
Mandarin,Mandarin,12.99250273,3.120906941,-4.925615478,1,3.782447185,1,3.747430596
Mandarin,Mandarin,12.05367132,1.623434551,-1.771805716,4,3.697322922,1,3.74579972
Mandarin,Mandarin,12.03707626,2.302758196,-2.239572456,4,3.689136414,1,3.74579972
Malay,Malay,11.29596338,2.048063042,-20.62426578,1,3.757812183,1,3.743969447
English,English,7.491615732,1.437040863,-16.79304311,1,3.814736624,1,3.743969447
Mandarin,Mandarin,10.81507013,1.607017866,-10.50520654,2,3.760761765,1,3.739559322
English,English,11.01911394,2.425024562,-6.67573217,2,3.763306174,1,3.739559322
Mandarin,Mandarin,1.175961969,2.753947931,-27.53411374,3,3.748920522,1,3.736735335
English,English,1.659610684,11.23766071,-19.17719703,1,3.767103296,1,3.736693142
Malay,Malay,8.480197129,10.3659397,-8.56914166,1,3.742974826,1,3.725301652
English,English,12.67896915,1.411426545,-23.58570038,2,3.700477042,1,3.721346237
English,English,13.26580315,5.339377048,-12.47852847,1,3.732353103,1,3.713700345
Mandarin,Mandarin,6.871872046,14.17615222,-8.412384735,2,3.681478475,1,3.708364442
Mandarin,Mandarin,6.873823687,2.567100332,-16.34467936,4,3.691108495,1,3.707693993
Malay,Malay,6.146459208,6.939563142,-24.75275399,1,3.746630597,1,3.701588765
English,English,2.726244048,11.03831879,-5.687491704,4,3.683396066,1,3.696796421
English,English,9.33671614,14.48196609,-2.177502879,1,3.714554835,1,3.694428766
English,English,9.521102209,12.67567169,-2.600837001,1,3.729362804,1,3.694428766
English,English,12.89819475,13.80028943,-1.777901716,1,3.687088819,1,3.694428766
Malay,Malay,2.812198963,1.35303418,-23.26790678,4,3.720787979,1,3.693549085
English,English,4.717855698,8.70709808,-12.06514612,3,3.705533308,1,3.690098261
Mandarin,Mandarin,5.994080767,3.161794905,-15.13925886,4,3.697977047,1,3.684697487
English,English,7.342055103,7.648037553,-21.46655696,4,3.618543884,1,3.684697487
English,English,5.417760737,6.059312999,-14.47282562,4,3.676986511,1,3.684697487
Malay,Malay,7.311340999,6.881892645,-16.3717546,4,3.643495148,1,3.684697487
Mandarin,Mandarin,14.0704127,6.507059965,-19.79186446,1,3.688252392,1,3.684026982
Mandarin,Mandarin,13.09535587,6.546766917,-0.2601262,4,3.642711685,1,3.663872026
Mandarin,Mandarin,13.65054038,5.127580718,-23.64277318,3,3.613409545,1,3.644633961
Mandarin,Mandarin,6.151011436,14.73581039,-28.49419615,2,3.616151128,1,3.63818129
English,English,13.05285878,12.0168043,-23.59325497,2,3.590659186,1,3.626397322
Mandarin,Mandarin,11.97544982,7.540602783,-10.31504332,4,3.610455996,1,3.619261551
Mandarin,Mandarin,9.143662967,6.711396677,-15.06282839,4,3.631239976,1,3.619261551
English,English,9.291276589,14.10723339,-0.959421012,4,3.60281683,1,3.618619258
English,English,11.13083163,8.714529453,-4.061716513,4,3.628007334,1,3.613101204
Malay,Malay,11.10469879,10.82165085,-21.49897643,3,3.589073249,1,3.577963319
Malay,Malay,11.41902097,10.86137154,-23.2664245,3,3.579641326,1,3.577963319
Mandarin,Mandarin,11.6679204,10.28498281,-23.07775189,3,3.583545128,1,3.577963319
English,English,8.27742887,13.12809122,-25.23542915,3,3.581826702,1,3.577963319
Mandarin,Mandarin,13.02389995,14.65957769,-21.51777146,3,3.531439319,1,3.54649837
Mandarin,Mandarin,12.81198916,11.64225472,-14.93520851,4,3.545673533,1,3.546350505
Malay,Malay,11.95040181,14.43893248,-12.66634077,4,3.533885521,1,3.546350505
Malay,Malay,13.63474909,9.880240448,-24.18457855,4,3.524234843,1,3.508377991
