distance_patient_clinic,distance_staff_patient,time_margin,workload,language,wheelchair,cost,fitness_score,label
6.243561664,4.362767366,-29.55027869,6,English,TRUE,1.33107258,2.66892742,1
11.24791519,2.585385213,-92.80445043,6,English,TRUE,3.471814685,0.528185315,0
5.077207963,3.341902311,-110.1172342,7,English,TRUE,4.034765576,-0.034765576,0
3.79543295,9.210066598,-125.4001882,9,English,TRUE,4.670061267,-0.670061267,0
9.293803964,6.885110317,-113.8922782,7,English,TRUE,4.238198416,-0.238198416,0
10.27531198,6.574161753,-8.417118083,6,English,TRUE,0.68906534,3.31093466,1
5.363955065,3.089205215,-98.23988972,2,English,TRUE,3.439194593,0.560805407,0
13.52758291,4.688629058,-79.80089577,3,English,TRUE,2.962191979,1.037808021,0
5.554624631,3.850454098,-39.62274222,1,English,TRUE,1.454808861,2.545191139,1
8.597745164,6.884469674,-79.57093983,7,English,TRUE,3.087186809,0.912813191,0
2.97293915,7.13088332,-101.5871998,4,English,TRUE,3.64727822,0.35272178,0
2.043709012,5.532192067,-81.40489662,3,English,TRUE,2.909255565,1.090744435,0
10.89600281,9.846504295,-18.11817173,3,English,TRUE,0.931364129,3.068635871,1
2.622166833,9.806450182,-81.87822035,3,English,TRUE,2.973560182,1.026439818,0
9.726173776,6.012568825,-66.30974252,4,English,TRUE,2.527712177,1.472287823,0
1.4400086,9.748863939,-0.547604195,5,English,TRUE,0.330142199,3.669857801,1
8.119989676,4.039803884,-102.456034,5,English,TRUE,3.736799068,0.263200932,0
13.70593063,7.3272853,-46.6497572,4,English,TRUE,1.925324066,2.074675934,0
4.203174317,3.87656313,-42.40913975,2,English,TRUE,1.574435366,2.425564634,1
3.257098022,1.32173555,-12.92681847,8,English,TRUE,0.796682285,3.203317715,1
3.611980824,6.513335274,-73.75604024,5,English,TRUE,2.759787836,1.240212164,0
6.979509041,8.39013494,-119.3560044,4,English,TRUE,4.29222992,-0.29222992,0
1.097329827,6.40665797,-103.0268618,6,English,TRUE,3.749268606,0.250731394,0
4.109509347,3.091019913,-141.7752658,3,English,TRUE,4.917847485,-0.917847485,0
2.678115143,6.615510173,-12.74138246,2,English,TRUE,0.597649002,3.402350998,1
5.7266124,5.142892511,-98.79554882,1,English,TRUE,3.44188001,0.55811999,0
5.524841048,1.130235774,-137.6599529,1,English,TRUE,4.695215863,-0.695215863,0
10.84226542,6.841825665,-120.6273687,5,English,TRUE,4.397753201,-0.397753201,0
7.961479082,9.321605361,-68.67493538,3,English,TRUE,2.581995357,1.418004643,0
14.79910636,8.160236529,-107.1198616,2,English,TRUE,3.880255483,0.119744517,0
4.170940853,3.181769325,-125.317699,3,English,TRUE,4.370783736,-0.370783736,0
14.11421984,6.63979315,-97.8942018,6,English,TRUE,3.71068019,0.28931981,0
4.385932073,2.226102864,-143.3264549,9,English,TRUE,5.203668845,-1.203668845,0
13.55954364,7.863881409,-132.598171,5,English,TRUE,4.834173285,-0.834173285,0
